21.35,-6.29,79.36,33.57,38.33,-11.54,-9.62,74.66,31.52,82.22
-11.29,32.34,36.54,62.00,81.14,45.60,-3.08,12.74,72.18,57.95
50.83,7.86,54.20,-4.62,20.75,65.03,87.57,74.25,34.51,69.02
71.18,-12.48,-6.16,-6.61,-6.35,17.26,21.84,60.11,-14.20,-11.07
91.30,76.04,83.86,93.92,92.53,64.61,54.59,-6.34,95.12,28.22
-1.42,13.71,57.83,35.67,23.36,40.34,65.39,-6.36,55.23,86.24
48.07,48.37,-2.46,9.02,56.62,12.90,-1.71,78.30,47.62,45.00
1.34,3.01,84.70,91.92,97.17,19.73,-10.86,-4.04,18.54,67.12
89.10,-13.33,-10.71,64.71,65.63,-14.41,23.89,91.91,64.95,44.04
51.24,47.49,-11.48,37.72,91.47,76.74,34.67,-13.83,43.38,48.18
63.16,27.82,36.09,24.20,9.39,95.05,42.77,86.39,55.18,45.89
87.82,58.30,71.08,23.47,69.64,79.54,20.01,49.80,66.05,20.84
15.01,56.69,90.90,82.56,71.98,5.15,3.98,95.70,-3.29,35.09
10.22,-2.94,88.73,99.43,2.50,-9.34,48.35,53.21,31.18,55.58
46.04,54.75,79.10,77.22,1.84,28.22,47.91,25.54,8.79,-10.99
17.51,87.22,79.07,58.72,26.05,23.37,44.22,74.68,37.41,-5.71
97.77,73.82,86.71,-14.27,88.53,54.37,16.13,79.64,86.27,81.43
89.49,35.26,50.74,21.63,12.54,61.58,28.47,48.40,29.44,93.33
53.35,-10.54,48.57,38.31,24.86,68.22,21.81,26.87,61.00,79.58
11.51,29.70,49.01,67.74,79.35,28.34,73.38,17.65,43.53,79.00
63.33,26.32,0.55,50.73,13.60,29.02,77.78,-3.69,43.32,49.60
-1.92,37.58,86.02,25.89,1.60,3.02,34.28,-9.34,68.49,80.15
81.65,83.90,61.53,71.38,97.00,-5.68,29.51,90.00,40.91,0.95
51.43,81.78,18.22,-12.52,36.88,96.09,-7.96,64.17,52.52,22.00
-8.30,90.52,87.95,-6.11,90.99,5.99,45.25,45.60,93.89,51.80
89.29,79.15,51.74,-2.07,56.53,94.05,16.14,3.75,81.75,23.37
45.03,50.49,74.72,83.52,38.13,43.30,57.74,3.03,72.71,23.71
94.02,36.48,3.17,16.33,20.24,29.82,-5.64,57.62,89.68,80.45
72.41,84.12,5.24,62.95,69.10,83.13,39.17,19.56,23.20,10.21
33.32,-7.92,21.29,63.40,-3.38,32.99,14.36,83.62,59.79,12.18
78.29,79.40,7.88,86.27,12.43,94.99,75.33,15.83,-1.10,97.63
82.02,2.69,96.56,44.70,75.63,89.07,34.24,-0.48,92.20,-1.34
26.36,36.48,66.03,44.81,9.20,89.84,68.59,9.28,93.44,61.55
64.87,37.59,30.04,4.65,53.56,66.39,-13.29,0.06,46.26,64.54
41.26,6.09,46.15,26.83,54.52,-5.56,89.70,55.19,16.74,25.16
-1.70,32.73,46.79,81.61,13.24,79.34,16.08,5.15,71.68,45.21
-3.45,98.82,52.84,28.06,-14.32,26.63,55.86,82.96,49.91,34.49
7.06,2.49,25.16,97.02,43.34,65.94,-9.60,7.86,21.13,82.65
18.81,81.16,45.20,57.26,58.60,20.07,10.41,99.03,38.25,22.15
49.61,36.25,-11.14,0.77,56.60,72.29,19.86,88.32,49.67,16.12
33.79,96.09,6.36,-3.19,-6.05,58.10,43.27,94.32,72.09,14.00
6.75,20.63,25.85,-14.26,-8.26,43.69,26.25,44.78,34.30,34.42
15.11,81.32,-4.94,75.84,39.10,73.15,8.23,39.77,-6.82,74.07
13.05,96.90,76.66,43.30,44.47,20.83,-14.34,14.33,91.87,19.59
24.82,34.38,97.44,77.70,73.03,38.60,44.24,78.33,22.99,10.26
-9.41,8.91,86.12,68.56,-9.30,93.67,69.87,7.60,75.56,-7.72
8.96,33.60,-11.38,27.89,8.82,72.98,-1.58,-8.85,45.19,54.51
9.71,61.77,82.16,7.44,70.49,-10.01,68.88,18.77,38.99,26.12
44.11,80.13,-13.46,80.97,40.27,29.91,37.59,65.71,59.02,28.38
53.72,-3.86,71.28,89.88,51.21,86.30,9.60,-0.47,51.76,20.17
-8.73,21.47,37.60,49.91,6.20,-13.93,85.61,68.11,-13.50,92.68
-5.85,28.48,87.03,23.91,3.72,63.95,5.53,73.55,80.58,96.14
53.20,-11.06,88.28,51.59,25.45,91.90,54.46,7.47,52.83,74.42
10.33,3.52,88.95,80.44,92.28,-11.81,53.32,8.56,53.17,42.53
25.81,36.32,92.19,-10.20,84.56,38.62,72.96,94.29,74.75,78.94
-6.59,-4.84,1.92,46.60,-9.10,68.60,10.70,47.76,45.49,66.43
93.28,-5.04,52.19,89.60,23.03,65.53,30.23,9.03,16.87,86.59
98.22,67.63,-11.75,86.88,63.08,81.67,14.60,-11.26,58.37,-6.42
81.03,56.01,87.77,30.02,63.44,84.03,-1.63,2.85,89.36,33.37
97.21,58.68,53.78,27.40,9.73,48.62,44.37,79.42,4.76,5.71
24.60,68.10,17.84,11.61,31.59,57.30,82.70,56.30,76.30,44.50
67.19,22.38,46.95,92.70,-2.66,1.35,52.46,71.28,96.71,81.79
73.05,28.09,0.75,96.74,26.46,27.10,78.27,99.36,28.12,23.37
98.24,87.37,56.81,41.23,46.60,57.10,86.92,32.52,42.00,53.90
19.47,88.41,91.34,31.76,60.96,6.37,53.79,40.62,23.89,98.60
79.03,31.99,21.12,37.05,-9.44,24.00,23.87,25.28,70.34,84.91
10.90,48.39,81.49,40.87,16.10,38.15,51.74,77.39,24.43,88.01
24.40,69.43,95.91,25.40,62.09,46.01,93.57,6.16,75.55,-8.62
